global_step,phase,run,epoch,loss,lr
23631,pretrain,ep-3-res,,0.158789,9.308196760982307e-06
23681,pretrain,ep-3-res,,0.158794,9.305274801823424e-06
23781,pretrain,ep-3-res,,0.158768,9.299413811148588e-06
23831,pretrain,ep-3-res,,0.15877,9.296474787472611e-06
23931,pretrain,ep-3-res,,0.158749,9.290579703100557e-06
24081,pretrain,ep-3-res,,0.158755,9.281694543191036e-06
24131,pretrain,ep-3-res,,0.158757,9.278721496833613e-06
24231,pretrain,ep-3-res,,0.158759,9.272758438387488e-06
24581,pretrain,ep-3-res,,0.158702,9.251710013604303e-06
24631,pretrain,ep-3-res,,0.158694,9.248680581735417e-06
24681,pretrain,ep-3-res,,0.158683,9.245645533479006e-06
24731,pretrain,ep-3-res,,0.158665,9.24260487289491e-06
24781,pretrain,ep-3-res,,0.158669,9.2395586040505e-06
24831,pretrain,ep-3-res,,0.158668,9.236506731020615e-06
24981,pretrain,ep-3-res,,0.158673,9.22731752767915e-06
25031,pretrain,ep-3-res,,0.158674,9.224243278805828e-06
25081,pretrain,ep-3-res,,0.158668,9.221163446233663e-06
25181,pretrain,ep-3-res,,0.158655,9.214987046479307e-06
25231,pretrain,ep-3-res,,0.158645,9.211890487558998e-06
25281,pretrain,ep-3-res,,0.158639,9.208788361463629e-06
25381,pretrain,ep-3-res,,0.158614,9.202567424353453e-06
25431,pretrain,ep-3-res,,0.158607,9.199448621660116e-06
25531,pretrain,ep-3-res,,0.158583,9.193194368856349e-06
25681,pretrain,ep-3-res,,0.158534,9.183771433908837e-06
25731,pretrain,ep-3-res,,0.1585,9.180619390860611e-06
25781,pretrain,ep-3-res,,0.158483,9.177461822467267e-06
25881,pretrain,ep-3-res,,0.158454,9.171130126547594e-06
26081,pretrain,ep-3-res,,0.158398,9.158400616905888e-06
26131,pretrain,ep-3-res,,0.158389,9.155204489774614e-06
26181,pretrain,ep-3-res,,0.158397,9.152002871294607e-06
26281,pretrain,ep-3-res,,0.158363,9.14558317742639e-06
26381,pretrain,ep-3-res,,0.158347,9.13914156965057e-06
26431,pretrain,ep-3-res,,0.158355,9.13591255881354e-06
26481,pretrain,ep-3-res,,0.158354,9.132678082433729e-06
26681,pretrain,ep-3-res,,0.158322,9.119685608128516e-06
26731,pretrain,ep-3-res,,0.158328,9.116423869080038e-06
26781,pretrain,ep-3-res,,0.15832,9.113156690557934e-06
26881,pretrain,ep-3-res,,0.158321,9.10660603258154e-06
26981,pretrain,ep-3-res,,0.158315,9.10003366924942e-06
27031,pretrain,ep-3-res,,0.158308,9.09673935905987e-06
